store_id,total_orders,total_delivered,total_gtv,avg_delivery_time,avg_on_time_pct,avg_stockout_cancels,fulfillment_rate_pct,stockout_cancel_rate_pct,orders_per_day,city,city_tier,perf_score,tier
DS1055,34473,33129,7912343.0,13.69,64.54,946,96.1,2.74,190.5,Delhi NCR,Tier 1,1.8808213717412692,Top Third
DS1038,39847,38114,8920638.0,12.46,75.6,1239,95.65,3.11,220.1,Delhi NCR,Tier 1,1.4882983457637138,Top Third
DS1049,24844,23860,4954176.0,15.2,48.18,675,96.04,2.72,137.3,Jaipur,Tier 2,1.313553509881551,Top Third
DS1026,35253,33898,8200632.0,15.94,42.93,951,96.16,2.7,194.8,Delhi NCR,Tier 1,1.270467922241543,Top Third
DS1016,38893,37276,9017356.0,14.57,55.3,1158,95.84,2.98,214.9,Mumbai,Tier 1,1.1219944809939069,Top Third
DS1010,14769,14195,2910969.0,18.13,35.13,394,96.11,2.67,81.6,Lucknow,Tier 2,0.999597838026605,Top Third
DS1024,46425,44518,10571942.0,16.03,42.27,1366,95.89,2.94,256.5,Mumbai,Tier 1,0.7812591505882057,Top Third
DS1029,20643,19796,4105453.0,16.5,38.37,587,95.9,2.84,114.0,Jaipur,Tier 2,0.7564882535828561,Top Third
DS1009,44048,42142,10012028.0,14.89,51.72,1383,95.67,3.14,243.4,Hyderabad,Tier 1,0.7029364124101076,Top Third
DS1021,24484,23378,5487085.0,14.0,60.97,812,95.48,3.32,135.3,Bengaluru,Tier 1,0.6639030066972456,Top Third
DS1044,32059,30667,7267879.0,14.85,52.4,1033,95.66,3.22,177.1,Bengaluru,Tier 1,0.6416837379174969,Top Third
DS1059,36004,34420,8174366.0,14.78,52.38,1154,95.6,3.21,198.9,Mumbai,Tier 1,0.5958798091691603,Top Third
DS1017,29489,28148,6731893.0,14.25,57.94,963,95.45,3.27,162.9,Chennai,Tier 1,0.5846822442399168,Top Third
DS1006,43129,41177,9858662.0,14.33,57.12,1417,95.47,3.29,238.3,Pune,Tier 1,0.5576265479092759,Top Third
DS1039,17569,16749,3415742.0,14.07,60.93,605,95.33,3.44,97.1,Lucknow,Tier 2,0.41510882640780095,Top Third
DS1058,40493,38807,9198433.0,18.14,35.08,1270,95.84,3.14,223.7,Chennai,Tier 1,0.31668476813551155,Top Third
DS1053,18016,17182,3551674.0,14.57,54.53,608,95.37,3.37,99.5,Bhopal,Tier 2,0.308502909879323,Top Third
DS1030,48656,46558,11284315.0,16.74,37.16,1497,95.69,3.08,268.8,Pune,Tier 1,0.30385236038418534,Top Third
DS1015,25504,24409,5052552.0,16.03,41.49,841,95.71,3.3,140.9,Jaipur,Tier 2,0.2584084424307513,Top Third
DS1002,35096,33495,7957667.0,15.12,49.79,1167,95.44,3.33,193.9,Mumbai,Tier 1,0.2551849156489966,Top Third
DS1004,29153,27793,6659545.0,14.77,52.93,986,95.33,3.38,161.1,Pune,Tier 1,0.21095736273683988,Mid Third
DS1035,43536,41619,9811470.0,16.48,38.43,1377,95.6,3.16,240.5,Pune,Tier 1,0.18918016966809884,Mid Third
DS1042,21031,20097,4190284.0,16.14,40.6,674,95.56,3.2,116.2,Jaipur,Tier 2,0.1862396147892588,Mid Third
DS1032,38529,36854,8649624.0,17.37,35.66,1213,95.65,3.15,212.9,Chennai,Tier 1,0.15385461335781744,Mid Third
DS1013,40023,38276,9116626.0,17.33,35.71,1261,95.64,3.15,221.1,Pune,Tier 1,0.14640573876539367,Mid Third
DS1047,28740,27484,6493492.0,19.07,35.06,897,95.63,3.12,158.8,Bengaluru,Tier 1,0.1440700044553416,Mid Third
