store_id,city,city_tier,zone,launch_date,sq_ft,sku_count,staff_count,catchment_km,treatment_group,rollout_date
DS1000,Pune,Tier 1,Central,2025-04-28,2276,2843,14,3.3,control,
DS1001,Bengaluru,Tier 1,East,2024-08-06,2178,2951,28,2.5,treated,2026-04-01
DS1002,Mumbai,Tier 1,South,2025-05-22,1981,3188,24,3.5,treated,2026-04-01
DS1003,Lucknow,Tier 2,West,2025-01-27,1819,2463,25,2.2,control,
DS1004,Pune,Tier 1,North,2024-03-31,2470,3125,31,3.4,control,
DS1005,Pune,Tier 1,East,2024-11-28,1711,3008,23,2.3,control,
DS1006,Pune,Tier 1,South,2025-09-11,2036,3186,25,2.2,control,
DS1007,Mumbai,Tier 1,Central,2025-08-06,2428,2709,29,3.0,treated,2026-04-01
DS1008,Chennai,Tier 1,North,2024-12-03,2786,3247,25,2.5,control,
DS1009,Hyderabad,Tier 1,North,2025-09-04,2433,3430,15,2.2,control,
DS1010,Lucknow,Tier 2,South,2024-10-14,2700,3775,21,3.0,control,
DS1011,Pune,Tier 1,Central,2025-03-04,1865,2968,16,2.6,control,
DS1012,Bengaluru,Tier 1,Central,2024-10-18,1804,2882,14,3.3,treated,2026-04-01
DS1013,Pune,Tier 1,East,2024-08-06,2965,3475,16,3.4,control,
DS1014,Hyderabad,Tier 1,North,2024-07-23,3085,3028,18,2.3,control,
DS1015,Jaipur,Tier 2,Central,2025-01-27,1898,3195,25,2.6,control,
DS1016,Mumbai,Tier 1,North,2025-05-18,2389,3467,27,2.5,treated,2026-04-01
DS1017,Chennai,Tier 1,North,2025-01-23,1819,3338,14,2.2,control,
DS1018,Bhopal,Tier 2,West,2024-03-26,1995,3265,21,2.5,control,
DS1019,Hyderabad,Tier 1,South,2025-09-05,2621,3129,26,3.1,control,
DS1020,Jaipur,Tier 2,North,2025-12-01,1934,3168,24,3.2,control,
DS1021,Bengaluru,Tier 1,Central,2025-06-14,2837,3277,21,2.9,treated,2026-04-01
DS1022,Lucknow,Tier 2,East,2025-10-30,1501,2747,17,2.5,control,
DS1023,Mumbai,Tier 1,South,2024-05-27,2740,2861,20,2.5,treated,2026-04-01
DS1024,Mumbai,Tier 1,Central,2024-03-13,2962,3776,16,2.8,treated,2026-04-01
DS1025,Jaipur,Tier 2,West,2025-01-01,2894,2982,27,3.3,control,
DS1026,Delhi NCR,Tier 1,Central,2025-05-18,1825,3702,16,3.4,treated,2026-04-01
DS1027,Mumbai,Tier 1,West,2025-01-04,2252,2975,28,2.9,treated,2026-04-01
DS1028,Bhopal,Tier 2,South,2024-08-04,2265,2648,17,2.3,control,
DS1029,Jaipur,Tier 2,Central,2024-02-15,2551,3762,29,2.9,control,
DS1030,Pune,Tier 1,South,2024-09-27,1607,3493,18,3.0,control,
DS1031,Mumbai,Tier 1,West,2025-03-20,2157,3142,15,3.2,treated,2026-04-01
DS1032,Chennai,Tier 1,North,2025-08-14,2171,3316,27,2.8,control,
DS1033,Jaipur,Tier 2,South,2025-09-08,2264,3139,14,2.4,control,
DS1034,Mumbai,Tier 1,North,2025-10-28,2572,2974,19,2.2,treated,2026-04-01
DS1035,Pune,Tier 1,North,2025-02-22,2643,3512,14,2.8,control,
DS1036,Lucknow,Tier 2,West,2024-11-08,3081,2701,27,2.1,control,
DS1037,Lucknow,Tier 2,East,2025-02-11,3068,2741,31,2.5,control,
DS1038,Delhi NCR,Tier 1,North,2024-04-26,2394,3535,19,3.3,treated,2026-04-01
DS1039,Lucknow,Tier 2,South,2024-08-15,2289,3215,16,2.3,control,
DS1040,Hyderabad,Tier 1,West,2024-10-04,1962,2542,22,2.9,control,
DS1041,Lucknow,Tier 2,West,2025-04-12,2103,2800,28,3.3,control,
DS1042,Jaipur,Tier 2,North,2024-04-16,2560,3335,25,2.8,control,
DS1043,Indore,Tier 2,Central,2024-06-08,2393,2620,20,3.0,control,
DS1044,Bengaluru,Tier 1,South,2025-02-22,2436,3083,26,2.6,treated,2026-04-01
DS1045,Delhi NCR,Tier 1,West,2025-08-07,1514,1899,23,2.7,treated,2026-04-01
DS1046,Bengaluru,Tier 1,West,2024-09-05,1872,2823,16,3.1,treated,2026-04-01
DS1047,Bengaluru,Tier 1,East,2024-03-05,2417,3522,16,3.4,treated,2026-04-01
DS1048,Mumbai,Tier 1,South,2025-08-14,2629,2926,29,2.7,treated,2026-04-01
DS1049,Jaipur,Tier 2,Central,2024-05-20,1803,3888,20,3.1,control,
DS1050,Chennai,Tier 1,Central,2025-01-14,2570,2154,27,2.8,control,
DS1051,Chennai,Tier 1,Central,2024-02-25,2278,3128,17,3.1,control,
DS1052,Jaipur,Tier 2,North,2025-01-31,3088,2977,22,3.1,control,
DS1053,Bhopal,Tier 2,West,2025-03-31,2812,3467,30,2.6,control,
DS1054,Pune,Tier 1,North,2024-05-27,2308,3221,19,2.7,control,
DS1055,Delhi NCR,Tier 1,South,2025-05-23,2114,3841,21,2.8,treated,2026-04-01
DS1056,Delhi NCR,Tier 1,East,2025-11-11,1900,3173,14,3.4,treated,2026-04-01
DS1057,Delhi NCR,Tier 1,West,2025-08-07,2449,2562,16,2.2,treated,2026-04-01
DS1058,Chennai,Tier 1,Central,2025-10-02,2053,3430,26,2.2,control,
DS1059,Mumbai,Tier 1,East,2025-11-23,2486,3199,24,2.3,treated,2026-04-01
