store_id,treatment_group,rollout_date
DS1000,control,
DS1001,treated,2026-04-01
DS1002,treated,2026-04-01
DS1003,control,
DS1004,control,
DS1005,control,
DS1006,control,
DS1007,treated,2026-04-01
DS1008,control,
DS1009,control,
DS1010,control,
DS1011,control,
DS1012,treated,2026-04-01
DS1013,control,
DS1014,control,
DS1015,control,
DS1016,treated,2026-04-01
DS1017,control,
DS1018,control,
DS1019,control,
DS1020,control,
DS1021,treated,2026-04-01
DS1022,control,
DS1023,treated,2026-04-01
DS1024,treated,2026-04-01
DS1025,control,
DS1026,treated,2026-04-01
DS1027,treated,2026-04-01
DS1028,control,
DS1029,control,
DS1030,control,
DS1031,treated,2026-04-01
DS1032,control,
DS1033,control,
DS1034,treated,2026-04-01
DS1035,control,
DS1036,control,
DS1037,control,
DS1038,treated,2026-04-01
DS1039,control,
DS1040,control,
DS1041,control,
DS1042,control,
DS1043,control,
DS1044,treated,2026-04-01
DS1045,treated,2026-04-01
DS1046,treated,2026-04-01
DS1047,treated,2026-04-01
DS1048,treated,2026-04-01
DS1049,control,
DS1050,control,
DS1051,control,
DS1052,control,
DS1053,control,
DS1054,control,
DS1055,treated,2026-04-01
DS1056,treated,2026-04-01
DS1057,treated,2026-04-01
DS1058,control,
DS1059,treated,2026-04-01
