date,store_id,city,city_tier,treatment_group,orders_placed,orders_delivered,orders_cancelled_stockout,orders_cancelled_other,avg_delivery_time_min,pct_on_time_15min,gtv_inr
2026-01-01,DS1000,Pune,Tier 1,control,177,168,6,3,16.99,35.0,39504.0
2026-01-01,DS1001,Bengaluru,Tier 1,treated,161,152,8,1,17.98,35.0,31573.0
2026-01-01,DS1002,Mumbai,Tier 1,treated,161,153,5,3,14.52,51.4,33230.0
2026-01-01,DS1003,Lucknow,Tier 2,control,94,91,3,0,16.5,35.0,19758.0
2026-01-01,DS1004,Pune,Tier 1,control,125,116,5,4,14.85,51.7,28128.0
2026-01-01,DS1005,Pune,Tier 1,control,138,132,6,0,15.9,35.0,34177.0
2026-01-01,DS1006,Pune,Tier 1,control,203,194,6,3,15.56,35.0,49033.0
2026-01-01,DS1007,Mumbai,Tier 1,treated,147,137,7,3,13.17,66.6,37922.0
2026-01-01,DS1008,Chennai,Tier 1,control,169,161,7,1,17.99,35.0,37939.0
2026-01-01,DS1009,Hyderabad,Tier 1,control,184,175,6,3,16.01,45.6,40979.0
2026-01-01,DS1010,Lucknow,Tier 2,control,61,61,0,0,17.98,35.0,13540.0
2026-01-01,DS1011,Pune,Tier 1,control,127,120,6,1,17.89,35.0,26716.0
2026-01-01,DS1012,Bengaluru,Tier 1,treated,181,175,5,1,15.51,41.5,40208.0
2026-01-01,DS1013,Pune,Tier 1,control,174,170,3,1,16.8,35.0,35812.0
2026-01-01,DS1014,Hyderabad,Tier 1,control,140,138,1,1,19.81,35.0,31147.0
2026-01-01,DS1015,Jaipur,Tier 2,control,102,98,3,1,16.24,37.2,18296.0
2026-01-01,DS1016,Mumbai,Tier 1,treated,190,185,2,3,13.99,64.0,50088.0
2026-01-01,DS1017,Chennai,Tier 1,control,113,110,1,2,14.47,50.3,22187.0
2026-01-01,DS1018,Bhopal,Tier 2,control,83,77,3,3,17.94,35.0,15562.0
2026-01-01,DS1019,Hyderabad,Tier 1,control,197,185,9,3,19.56,35.0,43740.0
2026-01-01,DS1020,Jaipur,Tier 2,control,92,86,3,3,17.56,35.0,15216.0
2026-01-01,DS1021,Bengaluru,Tier 1,treated,121,119,0,2,13.26,68.1,26323.0
2026-01-01,DS1022,Lucknow,Tier 2,control,124,117,3,4,15.27,44.3,23936.0
2026-01-01,DS1023,Mumbai,Tier 1,treated,197,190,7,0,16.11,43.9,51258.0
2026-01-01,DS1024,Mumbai,Tier 1,treated,195,188,6,1,16.73,35.0,55048.0
2026-01-01,DS1025,Jaipur,Tier 2,control,82,78,3,1,15.94,44.8,13879.0
2026-01-01,DS1026,Delhi NCR,Tier 1,treated,152,142,8,2,15.28,43.0,35135.0
2026-01-01,DS1027,Mumbai,Tier 1,treated,130,125,4,1,17.22,35.0,33351.0
2026-01-01,DS1028,Bhopal,Tier 2,control,130,127,2,1,16.01,35.4,28437.0
2026-01-01,DS1029,Jaipur,Tier 2,control,85,83,2,0,17.06,35.0,15994.0
2026-01-01,DS1030,Pune,Tier 1,control,216,206,10,0,16.83,35.7,48310.0
2026-01-01,DS1031,Mumbai,Tier 1,treated,124,117,6,1,14.68,48.0,30026.0
2026-01-01,DS1032,Chennai,Tier 1,control,137,135,2,0,16.8,35.0,28766.0
2026-01-01,DS1033,Jaipur,Tier 2,control,70,67,2,1,18.63,35.0,13319.0
2026-01-01,DS1034,Mumbai,Tier 1,treated,142,137,5,0,19.53,35.0,32178.0
2026-01-01,DS1035,Pune,Tier 1,control,196,190,5,1,17.48,35.0,48791.0
2026-01-01,DS1036,Lucknow,Tier 2,control,75,69,4,2,14.22,51.1,15377.0
2026-01-01,DS1037,Lucknow,Tier 2,control,130,126,4,0,15.4,46.7,23214.0
2026-01-01,DS1038,Delhi NCR,Tier 1,treated,161,153,5,3,14.28,59.5,41175.0
2026-01-01,DS1039,Lucknow,Tier 2,control,65,63,1,1,14.12,52.3,13519.0
2026-01-01,DS1040,Hyderabad,Tier 1,control,148,142,6,0,17.6,35.0,31361.0
2026-01-01,DS1041,Lucknow,Tier 2,control,79,76,3,0,18.62,35.0,14140.0
2026-01-01,DS1042,Jaipur,Tier 2,control,89,86,2,1,16.14,35.0,17428.0
2026-01-01,DS1043,Indore,Tier 2,control,102,97,5,0,13.35,70.8,21808.0
2026-01-01,DS1044,Bengaluru,Tier 1,treated,163,154,7,2,15.82,46.6,33729.0
2026-01-01,DS1045,Delhi NCR,Tier 1,treated,137,128,5,4,15.81,42.9,35464.0
2026-01-01,DS1046,Bengaluru,Tier 1,treated,112,107,4,1,17.8,35.0,19244.0
2026-01-01,DS1047,Bengaluru,Tier 1,treated,114,109,3,2,20.19,35.0,25333.0
2026-01-01,DS1048,Mumbai,Tier 1,treated,162,151,10,1,17.04,35.0,27578.0
2026-01-01,DS1049,Jaipur,Tier 2,control,108,105,3,0,15.62,42.8,25159.0
2026-01-01,DS1050,Chennai,Tier 1,control,125,120,4,1,14.28,57.5,29257.0
2026-01-01,DS1051,Chennai,Tier 1,control,160,153,6,1,14.67,52.8,36030.0
2026-01-01,DS1052,Jaipur,Tier 2,control,78,77,0,1,15.37,45.5,17895.0
2026-01-01,DS1053,Bhopal,Tier 2,control,81,79,1,1,15.16,43.5,15124.0
2026-01-01,DS1054,Pune,Tier 1,control,180,167,12,1,14.6,49.0,37815.0
2026-01-01,DS1055,Delhi NCR,Tier 1,treated,153,149,3,1,14.39,53.7,38095.0
2026-01-01,DS1056,Delhi NCR,Tier 1,treated,184,179,5,0,18.28,35.0,40200.0
2026-01-01,DS1057,Delhi NCR,Tier 1,treated,131,129,1,1,18.69,35.0,30396.0
2026-01-01,DS1058,Chennai,Tier 1,control,155,153,1,1,17.78,35.0,36883.0
2026-01-01,DS1059,Mumbai,Tier 1,treated,139,131,7,1,16.32,43.1,34013.0
2026-01-02,DS1000,Pune,Tier 1,control,221,211,9,1,16.94,35.0,54614.0
2026-01-02,DS1001,Bengaluru,Tier 1,treated,205,198,7,0,19.41,35.0,47007.0
2026-01-02,DS1002,Mumbai,Tier 1,treated,189,179,8,2,14.92,51.6,37289.0
2026-01-02,DS1003,Lucknow,Tier 2,control,119,114,4,1,16.07,43.8,19159.0
2026-01-02,DS1004,Pune,Tier 1,control,157,145,8,4,14.02,62.5,37498.0
2026-01-02,DS1005,Pune,Tier 1,control,144,137,2,5,17.62,35.0,33174.0
2026-01-02,DS1006,Pune,Tier 1,control,223,205,12,6,14.14,64.9,40828.0
2026-01-02,DS1007,Mumbai,Tier 1,treated,198,189,5,4,14.44,51.4,43084.0
2026-01-02,DS1008,Chennai,Tier 1,control,201,194,7,0,18.99,35.0,48101.0
2026-01-02,DS1009,Hyderabad,Tier 1,control,219,210,7,2,14.88,49.2,47475.0
2026-01-02,DS1010,Lucknow,Tier 2,control,68,62,5,1,18.56,35.0,11277.0
2026-01-02,DS1011,Pune,Tier 1,control,180,171,8,1,16.98,35.0,43879.0
2026-01-02,DS1012,Bengaluru,Tier 1,treated,215,206,7,2,17.3,35.0,54953.0
2026-01-02,DS1013,Pune,Tier 1,control,187,171,10,6,16.98,35.0,42488.0
2026-01-02,DS1014,Hyderabad,Tier 1,control,224,208,11,5,19.87,35.0,48679.0
2026-01-02,DS1015,Jaipur,Tier 2,control,126,122,2,2,16.94,35.0,24177.0
2026-01-02,DS1016,Mumbai,Tier 1,treated,192,186,4,2,14.99,52.0,39969.0
2026-01-02,DS1017,Chennai,Tier 1,control,158,152,4,2,14.47,63.4,40258.0
2026-01-02,DS1018,Bhopal,Tier 2,control,88,85,2,1,16.41,35.0,13121.0
2026-01-02,DS1019,Hyderabad,Tier 1,control,261,253,6,2,17.09,35.0,45750.0
2026-01-02,DS1020,Jaipur,Tier 2,control,116,108,6,2,16.6,35.0,21173.0
2026-01-02,DS1021,Bengaluru,Tier 1,treated,133,125,7,1,14.9,47.2,31792.0
2026-01-02,DS1022,Lucknow,Tier 2,control,149,139,4,6,13.15,69.5,31926.0
2026-01-02,DS1023,Mumbai,Tier 1,treated,229,216,9,4,15.6,52.7,58333.0
2026-01-02,DS1024,Mumbai,Tier 1,treated,241,228,11,2,16.03,35.2,59912.0
2026-01-02,DS1025,Jaipur,Tier 2,control,127,115,10,2,15.34,37.0,25989.0
2026-01-02,DS1026,Delhi NCR,Tier 1,treated,187,181,5,1,15.61,46.3,48946.0
2026-01-02,DS1027,Mumbai,Tier 1,treated,149,147,1,1,18.1,35.0,30430.0
2026-01-02,DS1028,Bhopal,Tier 2,control,169,160,8,1,15.63,47.1,23216.0
2026-01-02,DS1029,Jaipur,Tier 2,control,117,115,1,1,15.42,42.5,26127.0
2026-01-02,DS1030,Pune,Tier 1,control,270,253,9,8,15.31,47.5,77988.0
2026-01-02,DS1031,Mumbai,Tier 1,treated,190,177,10,3,15.68,41.1,39397.0
2026-01-02,DS1032,Chennai,Tier 1,control,187,180,5,2,17.06,35.0,41929.0
2026-01-02,DS1033,Jaipur,Tier 2,control,70,65,4,1,19.35,35.0,12765.0
2026-01-02,DS1034,Mumbai,Tier 1,treated,173,163,6,4,16.57,35.0,35704.0
2026-01-02,DS1035,Pune,Tier 1,control,225,212,7,6,14.34,54.8,38533.0
2026-01-02,DS1036,Lucknow,Tier 2,control,100,95,3,2,12.92,80.1,20322.0
2026-01-02,DS1037,Lucknow,Tier 2,control,119,113,3,3,18.09,35.0,24287.0
2026-01-02,DS1038,Delhi NCR,Tier 1,treated,220,203,12,5,12.33,77.8,48860.0
2026-01-02,DS1039,Lucknow,Tier 2,control,91,88,3,0,13.94,61.7,19118.0
2026-01-02,DS1040,Hyderabad,Tier 1,control,190,181,7,2,16.83,35.0,43309.0
2026-01-02,DS1041,Lucknow,Tier 2,control,120,116,3,1,16.9,35.0,17874.0
2026-01-02,DS1042,Jaipur,Tier 2,control,101,97,4,0,16.26,35.0,17690.0
2026-01-02,DS1043,Indore,Tier 2,control,94,88,3,3,13.43,64.4,16690.0
2026-01-02,DS1044,Bengaluru,Tier 1,treated,174,165,8,1,16.73,36.1,38597.0
2026-01-02,DS1045,Delhi NCR,Tier 1,treated,187,173,13,1,13.65,62.0,41075.0
2026-01-02,DS1046,Bengaluru,Tier 1,treated,180,175,1,4,16.57,35.0,40437.0
2026-01-02,DS1047,Bengaluru,Tier 1,treated,130,128,1,1,18.56,35.0,25238.0
2026-01-02,DS1048,Mumbai,Tier 1,treated,161,152,9,0,17.24,35.0,34644.0
2026-01-02,DS1049,Jaipur,Tier 2,control,118,113,3,2,16.12,41.9,26916.0
2026-01-02,DS1050,Chennai,Tier 1,control,120,110,10,0,14.71,51.9,28987.0
2026-01-02,DS1051,Chennai,Tier 1,control,196,180,13,3,16.41,37.6,48195.0
2026-01-02,DS1052,Jaipur,Tier 2,control,97,94,3,0,15.13,49.2,22408.0
2026-01-02,DS1053,Bhopal,Tier 2,control,86,82,4,0,13.35,69.7,17787.0
2026-01-02,DS1054,Pune,Tier 1,control,227,213,8,6,16.65,35.0,46914.0
2026-01-02,DS1055,Delhi NCR,Tier 1,treated,189,180,8,1,15.7,41.5,42201.0
2026-01-02,DS1056,Delhi NCR,Tier 1,treated,256,248,4,4,17.54,35.0,62563.0
2026-01-02,DS1057,Delhi NCR,Tier 1,treated,174,164,8,2,19.37,35.0,32210.0
2026-01-02,DS1058,Chennai,Tier 1,control,219,209,8,2,19.14,35.0,59780.0
2026-01-02,DS1059,Mumbai,Tier 1,treated,211,204,3,4,15.7,39.6,48366.0
2026-01-03,DS1000,Pune,Tier 1,control,206,195,8,3,17.21,35.0,46095.0
2026-01-03,DS1001,Bengaluru,Tier 1,treated,198,188,8,2,20.08,35.0,31134.0
2026-01-03,DS1002,Mumbai,Tier 1,treated,170,166,2,2,16.12,35.0,46160.0
2026-01-03,DS1003,Lucknow,Tier 2,control,109,102,7,0,16.77,40.9,22958.0
2026-01-03,DS1004,Pune,Tier 1,control,143,132,6,5,13.52,66.1,32447.0
2026-01-03,DS1005,Pune,Tier 1,control,147,140,4,3,15.65,42.6,30536.0
2026-01-03,DS1006,Pune,Tier 1,control,228,210,14,4,14.47,57.9,61782.0
2026-01-03,DS1007,Mumbai,Tier 1,treated,194,186,6,2,14.23,65.8,42506.0
2026-01-03,DS1008,Chennai,Tier 1,control,217,206,8,3,17.11,35.0,52112.0
2026-01-03,DS1009,Hyderabad,Tier 1,control,242,235,4,3,13.25,68.5,58662.0
2026-01-03,DS1010,Lucknow,Tier 2,control,96,93,3,0,19.45,35.0,25870.0
2026-01-03,DS1011,Pune,Tier 1,control,176,168,5,3,18.87,35.0,42931.0
2026-01-03,DS1012,Bengaluru,Tier 1,treated,185,177,6,2,18.35,35.0,49399.0
2026-01-03,DS1013,Pune,Tier 1,control,210,199,6,5,15.65,42.6,41838.0
2026-01-03,DS1014,Hyderabad,Tier 1,control,183,176,6,1,19.38,35.0,38046.0
2026-01-03,DS1015,Jaipur,Tier 2,control,128,120,8,0,17.45,35.0,25359.0
2026-01-03,DS1016,Mumbai,Tier 1,treated,200,196,3,1,17.48,35.0,42717.0
2026-01-03,DS1017,Chennai,Tier 1,control,161,155,5,1,14.39,59.7,34375.0
2026-01-03,DS1018,Bhopal,Tier 2,control,84,80,3,1,16.24,35.0,16627.0
2026-01-03,DS1019,Hyderabad,Tier 1,control,237,227,8,2,19.34,35.0,59438.0
2026-01-03,DS1020,Jaipur,Tier 2,control,101,99,2,0,17.24,35.0,27643.0
2026-01-03,DS1021,Bengaluru,Tier 1,treated,137,131,5,1,14.88,45.4,28678.0
2026-01-03,DS1022,Lucknow,Tier 2,control,137,134,2,1,17.05,35.0,28443.0
2026-01-03,DS1023,Mumbai,Tier 1,treated,227,219,6,2,15.97,38.4,45717.0
2026-01-03,DS1024,Mumbai,Tier 1,treated,251,241,6,4,17.35,35.0,51237.0
2026-01-03,DS1025,Jaipur,Tier 2,control,100,93,6,1,-1.673,35.0,18617.0
2026-01-03,DS1026,Delhi NCR,Tier 1,treated,201,189,12,0,15.74,39.7,42722.0
2026-01-03,DS1027,Mumbai,Tier 1,treated,132,125,5,2,18.25,35.0,36011.0
2026-01-03,DS1028,Bhopal,Tier 2,control,163,157,6,0,18.26,35.0,37356.0
2026-01-03,DS1029,Jaipur,Tier 2,control,99,96,2,1,15.63,44.2,17293.0
2026-01-03,DS1030,Pune,Tier 1,control,267,257,8,2,17.05,35.0,75751.0
2026-01-03,DS1031,Mumbai,Tier 1,treated,187,181,2,4,16.67,35.0,34356.0
2026-01-03,DS1032,Chennai,Tier 1,control,215,204,7,4,17.45,35.0,56589.0
2026-01-03,DS1033,Jaipur,Tier 2,control,74,70,4,0,18.91,35.0,13455.0
2026-01-03,DS1034,Mumbai,Tier 1,treated,189,183,6,0,16.26,35.0,51658.0
2026-01-03,DS1035,Pune,Tier 1,control,222,214,8,0,17.82,35.0,45497.0
2026-01-03,DS1036,Lucknow,Tier 2,control,91,87,2,2,13.65,65.1,16386.0
2026-01-03,DS1037,Lucknow,Tier 2,control,124,120,4,0,16.48,36.1,26816.0
2026-01-03,DS1038,Delhi NCR,Tier 1,treated,203,195,5,3,11.98,84.1,43719.0
2026-01-03,DS1039,Lucknow,Tier 2,control,92,86,4,2,16.01,40.9,16752.0
2026-01-03,DS1040,Hyderabad,Tier 1,control,187,177,9,1,17.51,35.0,41248.0
